Name,About,Website,Portfolio,Crunchbase,Location
Blue Collective,"Blue Collective is an investment firm founded in 2015 and located in Brooklyn, New York. Blue’s investment thesis is simple: phenomenal people build phenomenal businesses. We like to be the first outside investor in early-stage venture capital companies. We invest in Pre-Seed and Seed rounds of companies across a wide variety of industries and categories (from cowboy boots to podcasts to fintech to enterprise SaaS to med devices). If you’re a phenomenal entrepreneur (or think you have what it takes to be one), reach out to us on our website (www.bluecollective.com), Twitter (@_bluecollective), or by email (blue@bluecollective.com). We want to hear from you!",https://bluecollective.com/,https://bluecollective.com/portfolio/,https://www.crunchbase.com/organization/blue-collective,North America
Unbridled Ventures,"Early-stage angel fund investing in early revenue companies with excellent management teams, double digit month over month growth, and differentiated products or services.",www.unbridled.vc,https://unbridled.vc/portfolio/,https://www.crunchbase.com/organization/unbridled-capital,North America
Plug and Play,"Plug and Play is a Silicon Valley based VC with international reach. We are an early stage investor (pre-seed / Series A) with an incredible portfolio of companies that include some like: Paypal, Dropbox, Honey, BigID, Hippo... and growing. ",https://www.plugandplaytechcenter.com/,https://www.plugandplaytechcenter.com/startups/our-startups/,https://www.crunchbase.com/organization/plug-and-play-ventures,Global
91 Ventures,Israeli based VC focusing on Front-running Innovation. ,www.91vc.fund,,,Global
Laconia,We lead/co-lead pre-seed or seed rounds in B2B companies using software that are improving legacy industries and workflows.,https://www.laconiacapitalgroup.com/,https://www.laconiacapitalgroup.com/portfolio,https://www.crunchbase.com/organization/laconia,North America
The Helm,"We back female founders in climate/ sustainability, healthcare, and web3/ fintech.",https://thehelm.co/,https://thehelm.co/invest/our-portfolio/,https://thehelm.co/invest/our-portfolio/,North America
NeoTerra Capital,"NeoTerra Capital is a formation stage investment company that invests in new ideas, new technologies, new markets, and new ways of doing business.",www.neoterra.capital,https://neoterra.capital/portfolio/,https://www.crunchbase.com/organization/neoterra-capital,North America
Sterling Road,"$250k initial investment. Focused on Coaching. US, Canada, UK.",sterlingroad.com,https://www.sterlingroad.com/portfolio,https://www.crunchbase.com/organization/sterling-road,North America
Flybridge ,"Seed-stage venture capital firm based in Boston and New York City investing in entrepreneurs across a range of sectors who share our vision for leveraging the power of community. With over $1 billion under management across six seed funds and seven pre-seed funds, portfolio companies include BetterCloud, BitSight, Bowery, Chief, Codecademy (acq: SKILL), FalconX, Firebase (acq: GOOG), Infracommerce (BVMF: IFCM3), MadeiraMadeira, MongoDB (NASDAQ: MDB), Open English, Plastiq, and Splice.",www.flybridge.com,https://www.flybridge.com/our-community?type=companies&sorting=recent,https://www.crunchbase.com/organization/flybridge-capital,North America
Brickyard,Pre-seed VC and portfolio club for founders,justlaybrick.com,https://www.justlaybrick.com/portcos,,North America
