Full Name,Title,Diversity Flag,Firm,Type,Location,Crunchbase URL,LinkedIn URL
James Earl Brown III,Founder & General Partner,PoC,Arena Growth Partners,Venture Capital,"""Austin, TX""",https://www.crunchbase.com/person/james-earl-brown-iii,https://www.linkedin.com/in/james-earl-brown-iii-3a54162b/
Shruti Gandhi,Founder & Managing Partner,Female,Array Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/shruti-gandhi,http://www.linkedin.com/in/shrutigandhi
Tara Butler,Managing Director,Female,Ascension Ventures,Venture Capital,"""St Louis, MO""",https://www.crunchbase.com/person/tara-butler,http://www.linkedin.com/pub/tara-butler/8/a89/644
Jennifer Fonstad,Co-founder & General Partner,Female,Aspect Ventures,Venture Capital,"""Atherton, CA""",https://www.crunchbase.com/person/jennifer-scott-fonstad,http://www.linkedin.com/pub/jennifer-scott-fonstad/50/508/615
Lauren Kolodny,Partner,Female,Aspect Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/lauren-kolodny,https://www.linkedin.com/in/laurenkolodny
Theresia Gouw,Co-Founder & General Partner,Female,"Broadway Angels,Aspect Ventures","Angel Network, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/theresia-gouw,https://www.linkedin.com/in/theresiagouw
Andrea Zulberti,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/andrea-zulberti,
Anna Ewing,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Arlene Harris,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Barbara Clarke,Angel,Female,Astia Angels,Angel Network,"""Boston, MA""",https://www.crunchbase.com/person/barbara-clarke,
Christine Guo,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Corinne Nevinny,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Danielle Hughes,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Danielle Leone,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Dominique Valentiny,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Elizabeth Crowell,Angel,Female,Astia Angels,Angel Network,"""Brooklyn, NY""",https://www.crunchbase.com/person/elizabeth-crowell,
Elizabeth Scharpf,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Janis Landry-Lane,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Jeanne Sullivan,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Jill Greenwald,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
June Fallon Payne,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Karen Drexler,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/karen-drexler,
Karen Rogge,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Kathy Parks,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Madalyn Friedman,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Margaret (Maggie) Kavalaris,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Maya Tussing,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Meganne Houghton-Berry,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Min Kim,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Raquel McLean,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Rose Wang,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Sara Frankel,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/sara-frankel,
Shamini Dhana,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Sharon Vosmek,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/sharon-vosmek,
Silvia Restelli,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Suzanne Juptner,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Tina Choi,Angel,Female,Astia Angels,Angel Network,"""San Francisco, CA""",,
Victoria Pettibone,Angel,Female,Astia Angels,Angel Network,"""New York, NY""",https://www.crunchbase.com/person/victoria-pettibone-2,
Troy Carter,"Founder & CEO, General Partner",PoC,"Cross Culture Ventures,Atom Factory","Venture Capital, Venture Capital","""Los Angeles, CA""",https://www.crunchbase.com/person/troy-carter,https://www.linkedin.com/in/troy-carter-20928774
Lisa Marrone,Principal,Female,August Capital,Venture Capital,"""San Francisco, CA""",,https://www.linkedin.com/in/lmarrone/
Lindsay Lee,Managing Partner,PoC,Authentic Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/lindsay-lee,https://www.linkedin.com/in/lindsay-lee-aa11b141/
Vaughn Blake,Founder & Managing Partner,PoC,Autochrome,Venture Capital,"""Los Angeles, CA""",https://www.crunchbase.com/person/vaughn-blake,https://www.linkedin.com/in/vaughn-blake-13050a7/
Bá Minuzzi,Co-founder and General Partner,Female,Babel Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/barbara-kunde-minuzzi,https://www.linkedin.com/in/barbaraminuzzi/
Barbara Kunde Minuzzi,Co-founder & Managing Director,"PoC,Female",Babel Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/barbara-kunde-minuzzi,
Daniela Arruda,Co-founder & Managing Director,"PoC,Female",Babel Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/daniela-arruda,https://www.linkedin.com/in/danielaarruda/
Arlan Hamilton,"Founder, General Partner","PoC,Female,LGBTQ",Backstage Capital,Venture Capital,"""Los Angeles, CA""",https://www.crunchbase.com/person/arlan-hamilton,https://www.linkedin.com/in/arlanhamilton
Christie Pitts,Partner,Female,Backstage Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/christie-pitts,
Lolita Taub,Principal,"Female,PoC",Backstage Capital,Venture Capital,,https://www.crunchbase.com/person/lolita-taub,Http://www.Linkedin.com/in/lolitataub
Fang Yuan,VP,Female,Baidu Ventures,Venture Capital,,https://www.crunchbase.com/organization/baidu-ventures,https://www.linkedin.com/in/fangyuan23/
Enrique Salem,Managing Director,PoC,Bain Capital Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/enrique-salem,http://www.linkedin.com/pub/enrique-salem/0/10/569
Sarah Smith,Partner,Female,Bain Capital Ventures,Venture Capital,"""Palo Alto, CA""",https://www.crunchbase.com/person/sarah-smith-6,https://www.linkedin.com/in/sasmith4/
Nicole Walker,Partner,"PoC,Female",Baird Capital,Venture Capital,"""Milwaukee, WI""",https://www.crunchbase.com/person/nicole-walker,
Shamin Rostami Walsh ,Managing Director,Female,BAM Ventures,Venture Capital,,,http://linkedin.com/in/shamin-walsh-a21a867
Erik Moore,Managing Director,PoC,Base Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/erik-moore,https://www.linkedin.com/in/erikhmoore
Kirby Harris,Partner,PoC,Base Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/kirby-harris,https://www.linkedin.com/in/kirby-harris-2b454b8/
Adeyemi Ajao,"Managing Partner, Founder",PoC,Base10 Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/adeyemi-ajao,http://www.linkedin.com/in/adeyemiajao
Xuezhao Lan,Founding Partner,Female,Basis Set Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/xuezhao-lan,https://www.linkedin.com/in/xuezhao-lan-50aa1a1/
Chelsea Stoner,General Partner,Female,Battery Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/chelsea-stoner,http://www.linkedin.com/pub/chelsea-stoner/2/92b/4b0
Nisha Dua,Partner,Female,BBG Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/nisha-dua,https://www.linkedin.com/in/nisha-dua-5aa87914
Susan Lyne,President and Founding Partner,Female,BBG Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/susan-lyne,http://www.linkedin.com/pub/susan-lyne/13/b76/267
Walter Delph,Partner & Managing Director,PoC,BCG Digital Ventures,Venture Capital,"""Los Angeles, CA""",https://www.crunchbase.com/person/walter-delph,https://www.linkedin.com/in/walter-delph/
Sarah Tavel,General Partner,"Female,LGBTQ",Benchmark,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/sarah-tavel,http://www.linkedin.com/in/sarahtavel
Kristina Shen,Partner,Female,Bessemer Venture Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/kristina-shen-e419,https://www.linkedin.com/in/kristina-shen/
Israel Rollins,Managing Principal,PoC,Bethesda Capital Partners,Venture Capital,"""Nashville, TN""",https://www.crunchbase.com/person/israel-rollins,https://www.linkedin.com/in/israelrollins/
Brita Rosenheim,Partner,Female,Better Food Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/brita-rosenheim,
Julie Sunderland,Co-Founder & Managing Director,Female,Biomatics Capital Partners,Venture Capital,"""Seattle, WA""",https://www.crunchbase.com/person/julie-sunderland,
Mary Elizabeth Wheeler,General Partner and Angel,Female,BioRock Ventures,Venture Capital,"""Palo Alto, CA""",,https://www.linkedin.com/in/marywheelermbaphd/
Renee Masi,Managing Director,Female,BioStar Ventures,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/renee-masi,https://www.linkedin.com/in/renee-masi-088829/
Ken Grimes,Managing Director,PoC,Black Angel Tech Fund,Angel Network,"""Sacramento, CA""",https://www.crunchbase.com/person/ken-grimes,https://www.linkedin.com/in/kenmgrimes/
Obi Ugwanali,Cofounder & Managing Partner,PoC,Black Angel Tech Fund,Angel Network,"""Atlanta, GA""",https://www.crunchbase.com/person/obi-ugwonali,
Vincent Diallo,Partner,PoC,Bleu Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/vincent-diallo,https://www.linkedin.com/in/vincent-diallo
Karin Klein,Partner,Female,Bloomberg Beta,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/karin-klein,http://www.linkedin.com/in/karinklein
Anna Haghgooie,Managing Director,Female,BlueCross BlueShield Venture Partners,Venture Capital,"""Chicago, IL""",https://www.crunchbase.com/person/anna-haghgooie,http://www.linkedin.com/pub/anna-haghgooie/1/78b/725
Dipa Talati,Managing Director,Female,BlueCross BlueShield Venture Partners,Venture Capital,"""Chicago, IL""",https://www.crunchbase.com/person/dipa-talati,https://www.linkedin.com/in/dipa-mehta-2075694
Cheryl Cheng,Partner,Female,BlueRun Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/cheryl-cheng,http://www.linkedin.com/pub/cheryl-cheng/b/a66/428
Nimi Katragadda,Partner,Female,BoxGroup,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/nimi-katragadda,https://www.linkedin.com/in/nimikatragadda
Meghan Sharp,Managing Director,Female,BP Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/meghan-sharp,https://www.linkedin.com/in/meghan-sharp-9213a316/
Jiong Ma,Partner,Female,Braemar Energy Ventures,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/jiong-ma,http://www.linkedin.com/pub/ma-jiong-jiong-ma/0/4bb/976
Nathalie Molina Niño,CEO,"PoC,Female",BRAVA Investments,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/nathalie-ni%C3%B1o,https://www.linkedin.com/in/globalmisfit/
Hemai Parthasarathy,Partner,Female,Breakout Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/hemai-parthasarathy,https://www.linkedin.com/in/hemai/
Julia Moore,Partner,Female,Breakout Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/julia-moore,https://www.linkedin.com/in/juliatmoore/
Lindy Fishburne,Managing Partner,Female,Breakout Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/lindy-fishburne,https://www.linkedin.com/in/lindy-morris-fishburne-076157
Sophie Forest,Managing Partner,Female,Brightspark Ventures,Venture Capital,"""Toronto, Canada""",https://www.crunchbase.com/person/sophie-forest,https://www.linkedin.com/in/sophie-forest-835b322/
Audrey MacLean,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/audrey-maclean,http://www.linkedin.com/pub/audrey-maclean/0/5ab/ab9
Carla Newell,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/carla-newell,http://www.linkedin.com/pub/carla-s-newell/0/33/b58
Claudia Fan Munce,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/claudia-fan-munce,https://www.linkedin.com/in/claudia-fan-munce-ab58536/
Courtney Broadus,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/courtney-broadus,https://www.linkedin.com/in/courtneybroadus/
Ellen Levy,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/ellen-levy,http://www.linkedin.com/in/ellenlevy
Emily Poplawski,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/emily-poplawski,https://www.linkedin.com/in/emily-poplawski-1972322b
Heather Preston,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/heather-preston,http://www.linkedin.com/pub/heather-preston/10/355/286
Julie Herendeen,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/julie-herendeen,http://www.linkedin.com/pub/julie-herendeen/0/5a3/7aa
Karen Boezi,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/karen-boezi,http://www.linkedin.com/pub/karen-boezi/0/47/9b
Katie Rodan,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/katie-rodan,https://www.linkedin.com/in/katie-rodan-1b336610/
Kim Polese,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/kim-polese,https://www.linkedin.com/pub/kim-polese/0/0/a13
Laurie Yoler,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/laurie-yoler,http://www.linkedin.com/in/yoler
Leah Busque,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/leah-busque,http://www.linkedin.com/in/labusque
Leslie Blodgett,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/leslie-a-blodgett,
Magdalena Yesil,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/magdalena-yesil,https://www.linkedin.com/in/magdalena-yesil/
Margit Wennmachers,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/margit-wennmachers,http://www.linkedin.com/pub/margit-wennmachers/0/b18/613
Martha Ehmann Conte,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/martha-ehmann-conte,https://www.linkedin.com/in/martha-ehmann-conte-81a11733
Mary Cranston,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/mary-cranston,https://www.linkedin.com/in/mary-cranston-9420b3aa
MJ Elmore,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/mj-elmore,https://www.linkedin.com/in/mary-jane-elmore-a7525817
Paula Brooks,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/paula-brooks,
Rachel Sheinbein,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/rachel-sheinbein,http://www.linkedin.com/in/rachelsheinbein
Robin Richards Donohoe,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/robin-richards-donohoe,https://www.linkedin.com/in/robin-richards-donohoe-579aa645/
Sarah Imbach,Angel,Female,Broadway Angels,Angel Network,"""Seattle, WA""",https://www.crunchbase.com/person/sarah-imbach,http://www.linkedin.com/in/sarahimbach
Sarah Koch-Schiller,Angel,Female,Broadway Angels,Angel Network,"""Berkeley, CA""",https://www.crunchbase.com/person/sarah-koch-schiller,https://www.linkedin.com/in/sarah-koch-schiller-93812b1a
Sharon Wienbar,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/sharon-wienbar,http://www.linkedin.com/in/sharonwienbar
Shellye Archambeau,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/shellye-archambeau,http://www.linkedin.com/pub/shellye-archambeau/0/15/721
Sukhinder Singh Cassidy,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/sukhinder-singh-cassidy,
Tamara Thompson,Angel,Female,Broadway Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/tamara-thompson,https://www.linkedin.com/in/tamaralthompson/
Agatha Precourt,Angel,Female,"AMP Ventures,Broadway Angels","Venture Capital, Angel Network","""San Francisco, CA""",https://www.crunchbase.com/person/agatha-precourt,https://www.linkedin.com/in/agatha-matosek-precourt-83b82b34/
Julia Popowitz,,Female,"ARF Investments,Broadway Angels","Venture Capital, Angel Network","""San Francisco, CA""",https://www.crunchbase.com/person/julia-popowitz,https://www.linkedin.com/in/juliapopowitz
Katherine August-deWilde,Angel,Female,"First Republic,Broadway Angels",Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/katherine-august-dewilde,
Allison Thoreson Bhusri,Angel,Female,"Lemonade Capital,Broadway Angels","Venture Capital, Angel Network","""San Francisco, CA""",https://www.crunchbase.com/person/allison-bhusri#section-overview,
Fern Mandelbaum,,Female,"Vista Venture Partners,Broadway Angels","Venture Capital, Angel Network","""San Francisco, CA""",https://www.crunchbase.com/person/fern-mandelbaum,https://www.linkedin.com/in/fern-mandelbaum-a485851/
Stephen DeBerry,Founder & Managing Partner,PoC,Bronze Investments,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/stephen-deberry,http://www.linkedin.com/in/stephendeberry
Kobe Bryant,General Partner,PoC,Bryant Stibel,Venture Capital,"""Los Angeles, CA""",https://www.crunchbase.com/person/kobe-bryant,https://www.linkedin.com/in/kobe-bryant-ab1539124/
Aaron Gillum,Managing Director,PoC,Caerus Investment Partners,Venture Capital,"""Chicago, IL""",https://www.crunchbase.com/person/aaron-gillum,https://www.linkedin.com/in/agillum/
James Robinson,Managing Director,PoC,Caerus Investment Partners,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/james-robinson-6,https://www.linkedin.com/in/james-robinson-7542395/
Richelle Parham,General Partner,"PoC,Female",Camden Partners,Growth Equity,"""Baltimore, MD""",https://www.crunchbase.com/person/richelle-p-parham,
Christine Day,Partner,Female,Campfire Capital,Venture Capital,"""Vancouver, Canada""",https://www.crunchbase.com/person/christine-day,
Manica Gautam,Partner,Female,Campfire Capital,Venture Capital,"""Vancouver, Canada""",https://www.crunchbase.com/person/manica-gautam,
Julie Grant,Partner,Female,Canaan Partners,Venture Capital,"""Menlo Park, CA""",https://www.crunchbase.com/person/julie-papanek,https://www.linkedin.com/in/julie-papanek-a8961b1
Nina Kjellson,General Partner,Female,Canaan Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/nina-kjellson,http://www.linkedin.com/pub/nina-kjellson/0/3ab/343
Wende Hutton,General Partner,Female,Canaan Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/wende-hutton,https://www.linkedin.com/in/wende-hutton-a70a812/
