Name,Logo,Site,Funding Rounds,Location(s),Notes
Aleph,26aede45ba3f3e304ec6f80014f919c6.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/yoj_9M2HziFubBhi-JI4xA/Zs3PhbCV2AF_nn9zYZ2K2KQmxRyDRoeduEusXXJlbSZ0g6LOFmxvlIJ_Aec4Lu0BoM_aGOBtROiXylnN7vB9kjGCUp0FIB1DtvP78YGSHvA6JFexByIALK5pxkFkc6I_/pfb_JIO8IHe-17tcKu-STRg1tLTPmHva5ewiRx-lADA),http://aleph.vc/,Aleph I,Tel Aviv Metro Area,
Aligned Partners,f01ae3f6f8dafa6d25c65fabef5496e2.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/8X1HdRMKpc038Uiawk1_qw/Bt_IMEZScGhHaD_7lYTVPnNBx7tT7J2aGQvMrJWdL49Z8C5srnbuNl6tsoqbuKwUVirkvtQ-1eyfJmqFBt7zc8XwRlv887AnGFfJeIRN5F3kVR62jJFnJ-7jdBUFnEry/UlYEIGCceSMcSXh5X-_lwS3f0nt6_7q0iZcm3G7Fw5Y),http://alignedvc.com/,Aligned Partners II,SF Bay Area/Silicon Valley,
Alpha Venture Partners,alpha_ventures_partners.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/BrnV9YpmxmNm62hqEueiOQ/41t4-Ikn2RN7kJC9bpu9iNSxJ8yr8sVoaAj9u6teHQHk6_Ic23H1o6cmzK12NxWEodvCXEDAIsCIPpn7PgmILz3eegmNJyEpyPs48yXQ9EKseedInyYY8R1qfYsyRSnl/p1oFZQ_OuNjTVtzYAto93KoDM6Fory922p6pxTJZcCU),http://www.alphavp.com/,Alpha Venture Partners I,"""New York, NY""",
Alsop Louie,alsop_louie.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/3bBDMDuq4j2VkM3hrJ5rRw/GvMdzYbNyiWNHGYqyAmrDQXjMA86u-PLNGVDmQWEBj282Q520pSEAulGRfvi4EsRk8Ar1iLjQaWuf_NcuUfVRj05NGnIHzM0DGxmmdQhmZo/o_oNIYktRDADMZh-cVJHOp4ofsI0_gvKT_ECRTOMNN0),http://www.alsop-louie.com/,Alsop Louie III,SF Bay Area/Silicon Valley,
Altos Ventures,altos_ventures.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/bY7IymHNibNFNd4HQSaGIg/e1N6fS2PO6uZrU26IxoVUXD7upwhw3Apff4zIKUj-aUNL5G8l08JW6J0Wafv-cH88fMqSBocOlqVuctcAmAzz1PBK7VD5K4qHVIRJ6LZAQo/7xcnQnltvV8vnMft9qLor9RNIusox5Fxogg4OELk_mA),http://www.altos.vc/,"Altos Ventures I,Altos Ventures II","SF Bay Area/Silicon Valley,Seoul",
Ameba Capital,,,Ameba Capital II,Hong Kong,
Amplify Partners,090c8f938467b740370ce482c709c058.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/evJiNOUk1uXeR2zWLzMygA/2rcSk-aUfRnnIc5orK8GFcgfiQwV3t_9q-hk9V8zD3tvRnk7PAoV39MbSVNMA4Xu5QjtTWqOMrR5HkUWfjFgThSZwY6QRn8bE-PsJy3R2G4czOPV1Uf6q1_NDs3a6az6/YF2sNCCUFzKGy-L-1NzY-h4X_IAiPPu_wQw8DJDdyMo),http://www.amplifypartners.com/,"Amplify Partners II,Amplify Partners I","SF Bay Area/Silicon Valley,Boston/Cambridge",
Amplify.LA,a6n2dcrl0yyejsen1ber.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/gnA-xE_U6Y84y1W3uv91rg/I3GtfSn_jc4NhfmLCuOuhEuuGxyj8ze0ZyMJpoBCuP5Zh2KTjOJnGmEoiXmZ7H9o_MBEfihPBCqQM9cwB1zvF-lgd9D-ZsEYwPFi4yK1qMLCSBGgQAbiLd3XiHEvt-cH/-uN7ys8y4wNDPTwr1Tx2X6XcvVEtQoH2Me8Gz9KLAJ8),http://amplify.la/,Amplify.LA II,Los Angeles,
Aperture Venture Partners,8aa6f1c2ea872b0d06534eee5d34d73a.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/DBZCnfLn6rsM2n6-U37K0g/RTFiVM5k94zJz4w8rWyUN6pwYXFGzM_aUAlm81kIN4vZv8jOtDuaUHRoKpQIfp8ua5bCba3S7j18GikVaRSwwTJvhf1ZXInXLKJKz1ufpQ_i5SIxl0spRWqPEpbvW3h_/aLpPjgrmAJxH53T3D8aaxWZWoN5Ta0Ig8MCEk4-DHPc),http://www.aperturevp.com/,Aperture Venture Partners III,"""New York, NY""",
Arthur Ventures,arthur_ventures.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/ziAa78TPe22Jt2NJxPWR5Q/AH8dt-k9hjT7wftn9iUuIGicgSqizVEt4G1O7EzazjaTiQuhnNNGepJ83WeObwvm9eXoiZAEWorafqKmq4uf6Y-e3GFi-6XylSV6pri9GR4/mhoE5P8YeBTfFlpvEawr7kpzU-gI0qNVlDs9CpaVcRo),http://arthurventures.com/,Arthur Ventures II,"""Minneapolis, MN"",""Fargo, ND""",
Aspect Ventures,aspect_ventures.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/RnwU-mzJiqKu159HW6d2Jw/BCa1ZNZenH7lu4blSDcahUQWesK_vsAufG_XEwa0O6h91aDUc-G_YYuvVJl5OdaefzO74hqRVrCXFIPG8-jH0ptDzkpx6AGRMoQ6fM7nsLI/k0AxtufOr2BpKX9b2fjmyduR0wBWL7jjEEXkziObF9s),http://www.aspectventures.com/,Aspect Ventures I,SF Bay Area/Silicon Valley,
B-to-v Partners,tsxkignvzns4z3yw3pau.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/g7Mxb--dvRaKN2SVjZ0y-A/Y4pP6W9uws7EkMyx4TEs1Q7XYXhQiJzHG_qUFEkd_zAxBhc-iqOvvgtUbB9L-3uXfFJ3yQErC5BdabaG5vOO29g8TCTfWLhdG2GklL8fts46xM-VObVw7DzCXA_oK1_Q/eozCO362fEqZ-_C6U9pfKk7DRLLnc5agKWoCcAXdl_w),http://www.b-to-v.com/,B-to-v Partners III,"Berlin,""St. Gallen, Switzerland"",Luxembourg",
BBVA Ventures,38a2ee594f3141af6182f435e804728a.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/bSyojgnlOoPzPVyj8pH9tQ/xtRx0yYCwPBj8iDEDj0fxmq7NIjGDa8jCLgtIEBDVNlIEjDbh3wc4_8DKvMo094BT7yWQAR_I_T3aJLDf34SeJwXfF-xEjJ2u47lDD9xSrUoz3RAKdmZLjZ5Eld7aeuA/muwRmzLrPz0HgHpQ4j4aBaNK4jJpmiwb9d9BgGOGuD0),http://bbvaventures.com/,BBVA Ventures I,"Madrid,SF Bay Area/Silicon Valley",Closed 2/11/16
Bee Partners,hiezkgml1tus5dkxjeud.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/yXDQnZDPwiQjVchXaLp1QQ/CrGeHBZBkqnBhKI6C9Erz2xFZ3k6A8iQMIdHQiHf1y5zncMeeQz4iFqPaDoqgWKXP9t1wDMCzZmlWLRIXtuOaeA8vbPE2VeBorkMIquUyyDsSBbu1MOGj75sYIeOLqkP/kF2OSujOeDVPStkBPjIkzvWeMniyld-zxl9tyVHliIk),http://beepartners.vc/,"Bee Partners II,Bee Partners I",SF Bay Area/Silicon Valley,
Benhamou Global Ventures,fc39e8e9eed001df773b3c4fbf56ef51.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/2Pew7_F6iXkOoD8ZbewRXg/P1I-aALfCxiT6NDSBqNDA3cLWMkGTCZtYObWzn4wlVwDmzZYk_1Zzco03LQAkA9VTMXBylmUMlsfqV7pdgZk2-2xQfIsZhSmMXYz3C7qa_600yqRwDe34Vy4eFdE_EXB/hEvjFwMbkyjfJ6zH0hnanKpcr0YHVbZKxFjCJqjOjWU),http://benhamouglobalventures.com/,Benhamou Global Ventures III,SF Bay Area/Silicon Valley,
Binary Capital,ni2nou06uafinorvxnbs.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/2R6cDotDsJHehCYMfUHQKQ/fl3BGf99oiokhZATASEzsVRMcOOGWeJBzIhKzYghvECkqmQoLb6dkqrndBasxquHq5g86XzkUMFBocG7osjKTgHmotq7MwaDzVfxSapLG_IICuKLLiqN1BWx5siuU1WH/crc3NjgZ6Z5kVcekUA-xA54ISUKyE5AwodxtxB0M708),http://www.binarycap.com/,"Binary Capital II,Binary Capital I",SF Bay Area/Silicon Valley,
Blackbird Ventures,ce8300e3ade180ec05e8839e86d11917.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/W34mhx5z9KPLGiRp6vy8Qg/o2V-gPF4NUkQoLM3tIdx6U7kJGKFJIhZEFsmPuBQ-AMCbqcl7jIhoz9hztX2HUMwPoCY0D-e6p1nWsKZApCui-pVDMwYd2lYKixdr6IMx3ViDp5Dd-uIY-08qepx_RUH/AL5Mf0YlxBQm5fFTMYicQFpQJr5bgS8ZgYfbDdRRDxU),http://www.blackbird.vc/,Blackbird Ventures I,Sydney,
Bloomberg Beta,7efb1b0061d0a6d64bc0710262fa52b0.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/uWbz4azsijs6hKBSLb8YZw/W5tIiK11HwXip0d0NvstsME_LRQfio4Y3LSIvvKDE-AaqcYsLHw7dCyEcvOkvYtyfciMDJ_B22NffVWonUicupxSRX1g7WkpQjuZ2ED8JiAjSC4xYdZ8hpGDiLBOXi6_/2d6c6PFuh5DXg9C5tkkZ0JGs6YX5jEj2Jy68_x2_Ps8),http://www.bloombergbeta.com/,Bloomberg Beta I,"SF Bay Area/Silicon Valley,""New York, NY""",
BlueYard Capital,haafv4fuknpeu9ajnrkh.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/xIoF-3EtlwaccjU3gGV1hg/HTsTXy3W6Al3K00nF8PIInFfVfQGUhl7ksfRhuBoIqIHgg0EXL-6JzgH7o3pzEmft6OQI2cIOirHlOFnXw0DcQzq5vI_701Yz8lzKiMyq1bWEyt5JT0grJwB2gLr-hFF/9JzDHXC-m7cjipfg2UfR_f8AOQi0FSoswaBbS1eMo6M),http://blueyard.com/,BlueYard Capital I,Berlin,
BoldStart Ventures,kdufratlexxjucykluau.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/BqD5E8XysAp4PUGeRAFvPQ/1Go1gGAghOHJDPKy3szKki-dyf-rG8q6HCMuF63sLpuuCraSLvPOkV0fDihfASQNdLifMPa4UKHkbRFf790BQrO8hLqgpfXmaeZhqyZ3zh5g7A3jE7JdtMRZCjQAWuoO/LVPiwvBJsWvFsjCF85ImgzRYdra6yLWqGVDVa1oieoo),http://www.boldstart.vc/,"BoldStart Ventures III,BoldStart Ventures II,BoldStart Ventures I","""New York, NY""",
Bowery Capital,7c99758bb96b7c2b8d84563d511a81cc.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/lnX1LFE1pYmicgUzy1BXjg/3JGuRyIS_0TbdMTbD5ZiX3oSNklQ6Xzv6X67naOAqhBGXWRawXFeXeP80WCKmLaXHVrbLRyv-pQv_fMDDM2Un5CS1kDlyWMbeBABDzc4C9ctaNZEVEuGkl0mN8WGPyaA/ZwwdBsiKfGmleqvVxDucP7Up1hgQf6hHXyhiTuaSWM8),http://www.bowerycap.com/,Bowery Capital I,"""New York, NY""",
Brooklyn Bridge Ventures,ce27b59a3ca06ccb60d9353ffb60be3e.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/nkT-i3WmXD-3MUwqxP_4PQ/JsFg5pEXjgM7SQWhxpKLNJ-YH5_MxYqLKIx0bBKC5ntAtcNw7bSveC8aA_OvneorgT3ea0f2Ttifi_G0-kbvk8xgE8vr-nNYnvsjZK0oehfIOMU48jyQ-0SwlgO62MHZ/YNTmsTHKh7bReZspbMEsK1SXvFNTgO7VxiuOOgRTbRA),http://brooklynbridge.vc/,"Brooklyn Bridge Ventures II,Brooklyn Bridge Ventures II,Brooklyn Bridge Ventures I","""New York, NY""",
Bryant Stibel,o1bcuj40a8m5glrwmhu9.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/1cwTacjwx83A2frMTrh1DQ/8vCyI8sZAQko2_DEiz0_SqXh2T5lAeekPrKfSoqzaAmtaf9ojOo2Ly3oECn9-T_9qAoFHnn5hjZhq8lkuBrzTWYFalzwAs-YgkuuG6Q1LZH7KuwvxlXDQA68SS7GgjXA/T5W2pplKbZ9jYC3ukhR-qchfqbCz0U1y1-iDazoov8U),http://www.bryantstibel.com/,Bryant Stibel I,Los Angeles,
Bull City Venture Partners,4538497c4fb5f773e3ebaedbd2494820.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/e-3Cw3H8ut9UADV5C7kCEA/U4ro3Elh9FcRq0lxH1SAQ02L_Ne3_LiuXQ2Yj0XqIKbSAtHwuvArokJCGLg-cZd5GN1QMNyCu_cB0C69Pgrma4GcxKQsiC28Gclb8EcxNICm6oWTFGh1mlxlV_nXruaN/YT0hSbOdDfqNfJQxUrmgjCTBv0OuwL62YCQWR31SFEM),http://www.bcvp.com/,Bull City Venture Partners I,"""Durham, NC""",
Bullpen,425e57daf38f41914df1c1c1e14a9caa.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/W-68SPQcBFmoRBD_l5dFpQ/8HG5XRzoru1HevfD1yFfxcZ_AvaCkHnBNI8IAL12jkB8TfcL5_SI8ysvu4SmO2aUXqjBk2uIbbCNxeGLIXUgWMzyX63S522OdJX0ZsJip0EetsamYsLs8rr2ft-8HZSq/XU1Evs66OBmZP-c50N-zUzPBSDIXS_33irblyJJrNDs),http://bullpencap.com/,Bullpen III,SF Bay Area/Silicon Valley,
Canvas Fund,xmudzqztbzsflgtw3lcr.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/R83p0qcQMI_KdiWYTY1a4g/mHnMPjztNwBQTthbtnRZikBd5OUAi124dliBXoB6S52t2P8Z_40H4k5PjG8xCZyMatyZViX01mhlSB3uinP1O0LPpccbhFqT8C0iElCGndsMgqmBRtnAEmzv48gZV1lW/ewLZz4MU0SJCfpLHwkFFLjKh-CyhIMurZQjEesc9wpc),http://www.canvas.vc/,Canvas Fund I,SF Bay Area/Silicon Valley,
Capital Partners,ecdd9db5795446f582c0ba6d1c8e3c90.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/LbVs3cklZx0F-N2C8T4LcQ/e57-KTOo9jW3F1ivv4c86f1Wbu0F8abI8f5JJ77kSWjo4Th6OCu1uHNb4JYGYz6GfDTwwBMR-6EOJpHk6q588RzP7yO6bCIJlx_ndk_fzKhrOMzdn3k99m4xRlZKy8P8/T2QjPLReQe8CoaMnsxJnO_lwaMFsYsvVyUy_PhdRUzE),http://capitalpartners.com/,Capital Partners I,SF Bay Area/Silicon Valley,
Carmel Ventures,e281da65cd7ad55dbd5dd8d0b5cdc8a6.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/6BPvMtf8z1MIr7gSoAsQFg/vW2LJh-eS7EL-h06XGEQt-VBCBzxLbS40hyJs5ARXooCZpFXbRT5e8F-s9DxMePI2HI0JUQhN0uoJodKA4uc6Wnas3yCPGQ3YSgknAqFla09n5Kk3KucQZ0AAIdxJYU-/UC3sM6BA6A62AU5VzObEjdlF2VYra-uxX2AygC7MeGU),http://www.viola-group.com/Carmelventures,Carmel Ventures IV,Tel Aviv Metro Area,
Causeway Media Partners,yqnzdes5padzp1im6cdu.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/KtL026jJjKoekyEEluKtrw/BtFJmS6Tg6zINjSUYYD76zR21Hr-0O65_N6wnQe3RWAaj22RcvmZN0AkMka-mJLYD2fybhJZMd6M1bNUas5O8qDTX17qTbPBiFt91Q-_ZkSFXQ2wuxJa4pImgWFbDbqm/xAaSgKhgukwiSpwGkUnbg8qr0tGfLXF8_4GGg67cWCc),http://www.causewaymp.com/,"Causeway Media Partners I,Causeway Media Partners I",Boston/Cambridge,
Cendana Capital,vgvsz3rcngvtehk8ekvp.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/Iw-OvtQ2b2WppKtfAc5PKQ/s_Azwzj4MX3p84uwh3LFn46p_L4UmFsjEsxvNvF_Q5hXPlwKUGVEWawx1A-8uJ75C0ZIMhkqWRAuGYfKQF9uSSd6ztn33tdevnMhkQBV9JcY7rN9QKWsGO8sw52e5DGY/w6EZVVDGHG8ZUeOW4oYkjZ2Cy1UNyfZs2bddA2z3GuM),http://www.cendanacapital.com/,"Cendana Capital II,Cendana Capital I",SF Bay Area/Silicon Valley,
Chicago Ventures,b904056ca63e4caa71ed8593dd08dc64.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/qJi_drC0WSgaMOyoqKztHQ/_SRMwSfpP9IFYzK7m3WiPXa6lRqEjpB7r2LQWBVc9HgvbyrwpWo3aM8w62owdNPMu2hqybkpKUOdDlU0aziMFJSDzRC_6JJDtQdLTZw-c2ULhINNIsk5YgJ6qJegowWV/Q524ZWiRK-BmOAwcLV6qv_ear2liCMv5lEKqbuwd7r4),http://chicagoventures.com/,Chicago Ventures II,Chicago,
Chrysalix Venture Capital,owdtnijli3copj4nd8u1.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/OAbX6QjmjBLEIeT38IJimg/xRITDZydG-Y501uz6ePumIq5NHxUNipqIPHFIJgWSjI3kfU09eoMjLdDK7nqbx9Z2HPf2ef5DKDglS9txgFaIt5YGISdPwoZieJ6cqB6ifTrgVZuhh7Cw-F3PDadXvre/TB-CZp05-ewydoHM5CVl2uBRnryuWHB1v6Q9aO3-VFk),http://www.chrysalix.com/,Chrysalix Venture Capital I,Vancouver,
Clear Ventures,tabiok2vhfvcdt2ibxyk.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/GcSUaHloCNQ5dAqGAlvFZw/SVfv_-j1IU41n7Fq8Xb8qs9Mgh-li_8uv56d3Cp9WEZth4EnGaSP-83WytDoM3eRE2Ffy7EMpwBfA79-bDqZx4NnuphHentYU-uE9WRn5unQYRGjOLSVMcUbmwSmR1gK/kZb4C1s4pO91kypa_LxDL_Ub90U3vqFVdext_WJzLYw),http://clear.ventures/,Clear Ventures I,SF Bay Area/Silicon Valley,
Collaborative Fund,93db4f1192e705e85828dfb305ab1b8d.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/9wHWik7PBZC3cfttg_gegQ/FKv3VYLNI3smI_V93aSdz7Vk1gVdtsDHVkokBfyLE5E_UmDwc67lxVBJfWQDnJ6bvH1V1UCwTp3ZTwnCuzggVH-_fvwyCch3xd7GNC54MrAjOrbCB16N2InefCw_A14t/iFQZrBIwK_3yHDqiujwUnlFpWx9_s8-hxPjCYB31uwU),http://www.collaborativefund.com/,"Collaborative Fund III,Collaborative Fund II","""New York, NY"",SF Bay Area/Silicon Valley",
Commerce Ventures,3a196104c9cc2bc12aa37f28f6fd502b.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/zcKfV5-_Lm2CamNK4iW6AQ/CklScfl2lcegHgQGdVpgIIoHYZVKL0u3j1FAlCdTxYYN1dWXtcgN_1Q50-X2RGlO4ofEFKaRy862yFBn6qFLMyoxssYZduyyap7aA75eV407q0LYIn_IcbafkwZoR99d/GmnElC0maY65j4bl6vfqqkGNSuUNDGX9zVa2OehNVB0),http://www.commercevc.com/,Commerce Ventures II,SF Bay Area/Silicon Valley,
Common Angels,d2hs3ttmfqjg03mqflt0.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/kE-mckRx92w-xf3YWGAvUw/Vf2EqqzqKBQKWl3R8KOYwydp0JBMi0-AgtvCJbzRLMlVqUDyk2UCdwZpiU3n35Gcl4TxbSk1Jb85BUPTDOLMBffWAh21O_QE8INQ2GpM8y9E3Sd0PnHuclcqHSmequC_/4DXj5BHnnKwnQZDEfaa7k9c96mJpUU80FCj0ESVuF1g),http://convergevp.com/,Common Angels IV,Boston/Cambridge,
Compound,u9tde627pdfvfidqmme7.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/oReQTzBQS9qY1oqoclEfIg/0zTU81OUJ6U023HHeOr219xJjBKCeYDzyZSv20-Tf0u6atKLMVa7MJIGNH9NMWzuWhpozWfJS1ZO8OSWtWEM21BT1pLyfVeycLACt3a8IFsuFzAHyJWQlMgUQnlQ1rpA/ZE7OHSPzdt5zbfXHIT66HV0bCd7lTNciLoNcJnTGxVE),https://compound.vc/,Compound I,"""New York, NY""",
Connect Ventures,cfajsy7bhywb0jbdfmcw.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/Ytjr4g2KBU0ODQ1iVIRbJA/oFG31JwgsVrNvogvkAawf2G5MH3Tx6XinHj8cJyrO6vmRAEXKq5bo7k0wV7FQ3DeSx71kHK38F6z5DieVNtOtjNN2YS4I4LY3UuZ_EZWRyCnrXR4V339U8JbJ-3VJ93t/ZD3yIXIjTQmTOXwRXGT6djDcL9w0a74yJ3UiI_8UIRU),http://www.connectventures.co/,Connect Ventures I,London,
Contour Venture Partners,3c8a62ef1460fe0bf165c464512f3c3d.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/AMMg8owF1kNPoo4BDNCb6g/tN-lNiN_5WDZQRFbbgEylFDkjwsJgwaSVV4eF2GFeBMXWb3OZsfXzUhygLQEJEnwgVNWfPKjJx88n5r_AYtOwbF9f5kFYXgGUYISbU8L1Q1jjzJHXMu6TZXVXPBt5xGM/rtGKluKGLZh1hwkrhlPySsvDxvffvNgMVCf0nvFUL-8),http://www.contourventures.com/,Contour Venture Partners III,"""New York, NY""",
